Period,Region,State,Year,Colony_Loss,Colony_loss_pct,Diseases_pct,Inventory,Other_causes_pct,Other_Pests_pct,Pesticides_pct,Unknown_Causes_pct,Varroa_Mites_pct
APR THRU JUN,West,HAWAII,2021,490,2.00%,0.00%,21000,,0.61,0,,0.93
APR THRU JUN,West,HAWAII,2015,120,0.01,0.30%,13500,0.03,0.61,0,0,0.6
JAN THRU MAR,West,HAWAII,2015,380,0.04,1.60%,10500,0.02,0.38,0,0,0.39
JAN THRU MAR,West,HAWAII,2017,190,1.00%,0.20%,13000,0,0.02,0,0,0.01
JAN THRU MAR,West,HAWAII,2019,390,2.00%,0.10%,16500,0.03,0.65,0.01,0,0.72
JUL THRU SEP,West,HAWAII,2021,1100,5.00%,,21000,0,0.19,0.18,0.01,0.3
APR THRU JUN,West,HAWAII,2017,70,1.00%,,12000,0,0.04,0,0,0.89
JAN THRU MAR,West,HAWAII,2022,1600,8.00%,0.00%,21000,0.03,0.76,0,0,0.76
OCT THRU DEC,West,HAWAII,2021,100,1.00%,19.70%,20000,0,0.64,0,0,0.66
JUL THRU SEP,West,HAWAII,2017,1100,7.00%,0.30%,15000,0.02,0.04,0,,0.03
APR THRU JUN,West,HAWAII,2016,830,0.06,0.00%,13500,0.03,0.38,0.01,0,0.36
JUL THRU SEP,West,HAWAII,2018,1800,11.00%,0.10%,16500,0,0.89,0,0,0.88
APR THRU JUN,West,HAWAII,2018,380,2.00%,0.40%,16500,0.01,0.92,0,0,0.88
APR THRU JUN,West,HAWAII,2020,0,0.00%,1.00%,15500,0.01,0.41,0,0,0.43
JAN THRU MAR,West,HAWAII,2021,800,4.00%,0.00%,19500,0.05,0.52,0,0,0.53
JUL THRU SEP,West,HAWAII,2019,200,1.00%,0.30%,17000,0.01,0.39,0,0,0.37
JUL THRU SEP,West,HAWAII,2020,500,3.00%,,18500,0.01,0.64,,,0.63
OCT THRU DEC,West,HAWAII,2015,690,0.05,0.20%,13000,0,0.34,0,0,0.31
APR THRU JUN,West,IDAHO,2017,10500,13.00%,4.00%,61000,0.08,0.06,0.08,0.05,0.31
JUL THRU SEP,West,IDAHO,2016,13000,0.10,4.50%,79000,0.06,0.05,0.08,0.03,0.25
OCT THRU DEC,West,IDAHO,2019,15500,8.00%,5.40%,111000,0.1,0.04,0.11,0.01,0.2
JAN THRU MAR,West,IDAHO,2015,3700,0.04,12.50%,81000,0.09,0.07,0.05,0.05,0.4
JAN THRU MAR,West,IDAHO,2019,12500,9.00%,8.00%,132000,0.09,0.08,0.09,,0.25
JAN THRU MAR,West,IDAHO,2016,8500,0.09,2.10%,91000,0.05,0.02,0.06,0.01,0.32
JUL THRU SEP,West,IDAHO,2018,14000,14.00%,14.60%,82000,0.14,0.05,0.27,0.06,0.84
JUL THRU SEP,West,IDAHO,2017,12000,10.00%,6.70%,89000,0.1,0.19,0.16,0.05,0.54
JUL THRU SEP,West,IDAHO,2020,11000,13.00%,6.70%,70000,0.09,0.03,0.11,0.04,0.45
APR THRU JUN,West,IDAHO,2016,6000,0.08,2.70%,60000,0.05,0.05,0.03,0.03,0.21
OCT THRU DEC,West,IDAHO,2020,19000,11.00%,4.30%,94000,0.05,0.09,0.05,0.05,0.52
APR THRU JUN,West,IDAHO,2018,6500,7.00%,3.00%,59000,0.04,0.04,0.19,0.04,0.52
JAN THRU MAR,West,IDAHO,2018,22000,13.00%,0.80%,164000,0.03,0.06,0.03,0,0.28
APR THRU JUN,West,IDAHO,2022,14500,13.00%,5.60%,103000,0.1,0.13,0.14,0.04,0.33
OCT THRU DEC,West,IDAHO,2018,15000,9.00%,9.60%,99000,0.07,0.47,0.16,0.05,0.65
JUL THRU SEP,West,IDAHO,2019,10500,9.00%,21.70%,95000,0.19,0.15,0.1,0.01,0.6
OCT THRU DEC,West,IDAHO,2016,15500,0.11,4.80%,121000,0.04,0.01,0,0.03,0.32
APR THRU JUN,West,IDAHO,2021,19500,16.00%,5.40%,86000,0.02,0.02,0.1,0.06,0.32
JUL THRU SEP,West,IDAHO,2021,3500,3.00%,2.60%,86000,0.07,0.02,0.07,0.02,0.55
OCT THRU DEC,West,IDAHO,2017,9000,5.00%,17.70%,113000,0.02,0.17,0.15,0,0.34
JAN THRU MAR,West,IDAHO,2022,8000,4.00%,,194000,0.01,0.01,0.16,0.01,0.57
APR THRU JUN,West,IDAHO,2015,6500,0.09,6.50%,62000,0.14,0.07,0.06,0,0.26
APR THRU JUN,West,IDAHO,2020,18000,22.00%,11.10%,48000,0.07,0.11,0.09,0.06,0.44
JAN THRU MAR,West,IDAHO,2017,8500,9.00%,42.30%,95000,0.02,0.42,0.21,0,0.74
JAN THRU MAR,West,IDAHO,2020,18500,11.00%,,156000,0.02,0.01,0.03,0.02,0.1
JAN THRU MAR,West,IDAHO,2021,14500,8.00%,0.00%,167000,0.02,0.1,0.09,0.02,0.3
JUL THRU SEP,West,IDAHO,2015,14000,0.11,1.70%,80000,0.02,0.05,0.1,0.06,0.47
OCT THRU DEC,West,IDAHO,2015,22000,0.15,4.30%,121000,0.03,0.01,0.04,0.05,0.39
OCT THRU DEC,West,IDAHO,2021,22000,10.00%,4.90%,141000,0.04,0.08,0.12,0.11,0.58
OCT THRU DEC,Midwest,ILLINOIS,2019,1700,13.00%,1.10%,13000,0.09,0.27,0.03,0.09,0.29
APR THRU JUN,Midwest,ILLINOIS,2017,1200,10.00%,0.70%,11500,0.06,0.04,0.03,0.02,0.11
JUL THRU SEP,Midwest,ILLINOIS,2018,660,6.00%,2.10%,11000,0.02,0.11,0.05,0.07,0.21
OCT THRU DEC,Midwest,ILLINOIS,2021,1300,10.00%,2.40%,12500,0.02,0.09,0.01,0.07,0.32
JUL THRU SEP,Midwest,ILLINOIS,2021,680,5.00%,1.40%,14500,0.04,0.1,0.03,0.06,0.38
APR THRU JUN,Midwest,ILLINOIS,2015,1300,0.14,0.20%,9500,0.02,0.04,0.03,0.02,0.1
JUL THRU SEP,Midwest,ILLINOIS,2020,1400,10.00%,1.80%,14000,0.07,0.16,0.05,0.08,0.28
APR THRU JUN,Midwest,ILLINOIS,2022,1100,12.00%,3.20%,9000,0.07,0.07,0.02,0.11,0.18
JAN THRU MAR,Midwest,ILLINOIS,2015,4200,0.40,0.70%,6000,0.13,0.07,0,0.12,0.12
OCT THRU DEC,Midwest,ILLINOIS,2018,1400,12.00%,2.40%,12000,0.07,0.13,0.03,0.06,0.27
OCT THRU DEC,Midwest,ILLINOIS,2017,1800,13.00%,0.80%,13500,0.05,0.1,0.08,0.05,0.29
APR THRU JUN,Midwest,ILLINOIS,2021,1100,8.00%,1.60%,12500,0.04,0.05,0.04,0.07,0.33
JUL THRU SEP,Midwest,ILLINOIS,2019,940,7.00%,0.70%,13500,0.06,0.08,0.03,0.12,0.36
OCT THRU DEC,Midwest,ILLINOIS,2016,720,0.08,1.20%,9000,0.04,0.12,0.06,0.05,0.28
OCT THRU DEC,Midwest,ILLINOIS,2020,1700,13.00%,1.10%,13000,0.03,0.1,0.03,0.07,0.26
OCT THRU DEC,Midwest,ILLINOIS,2015,690,0.05,0.30%,14000,0.01,0.03,0.01,0.03,0.09
APR THRU JUN,Midwest,ILLINOIS,2016,740,0.08,2.00%,9000,0.05,0.04,0.03,0.02,0.11
JAN THRU MAR,Midwest,ILLINOIS,2022,2200,19.00%,2.00%,11500,0.05,0.07,0.04,0.11,0.2
JAN THRU MAR,Midwest,ILLINOIS,2018,2400,23.00%,3.60%,10500,0.1,0.11,0.04,0.11,0.26
APR THRU JUN,Midwest,ILLINOIS,2018,2300,22.00%,6.70%,10000,0.1,0.08,0.07,0.02,0.14
JAN THRU MAR,Midwest,ILLINOIS,2019,2300,26.00%,3.10%,9000,0.16,0.15,0.01,0.1,0.33
JUL THRU SEP,Midwest,ILLINOIS,2017,1100,8.00%,2.80%,13000,0.05,0.14,0.03,0.03,0.3
JUL THRU SEP,Midwest,ILLINOIS,2015,1400,0.10,0.60%,14000,0.03,0.03,0,0.01,0.08
APR THRU JUN,Midwest,ILLINOIS,2020,1500,13.00%,1.00%,12000,0.12,0.08,0.08,0.04,0.24
JAN THRU MAR,Midwest,ILLINOIS,2016,1400,0.15,0.30%,8500,0.05,0.06,0.03,0.09,0.12
JAN THRU MAR,Midwest,ILLINOIS,2017,2900,26.00%,0.50%,11000,0.1,0.13,0.04,0.08,0.21
JAN THRU MAR,Midwest,ILLINOIS,2020,2400,21.00%,,11500,0.07,0.09,0,0.1,0.17
JAN THRU MAR,Midwest,ILLINOIS,2021,3000,23.00%,1.60%,11500,0.18,0.13,0.01,0.09,0.29
JUL THRU SEP,Midwest,ILLINOIS,2016,1300,0.12,0.70%,11000,0.03,0.08,0.04,0.02,0.17
OCT THRU DEC,Midwest,INDIANA,2015,1100,0.10,6.30%,11500,0.01,0.01,0,0.04,0.15
JAN THRU MAR,Midwest,INDIANA,2021,2600,24.00%,0.00%,10000,0.05,0.05,0.01,0.04,0.34
JUL THRU SEP,Midwest,INDIANA,2015,1600,0.11,4.80%,15000,0.01,0.1,0.08,0.06,0.14
APR THRU JUN,Midwest,INDIANA,2021,560,4.00%,0.60%,11000,0.06,0.07,0.07,0.01,0.23
JAN THRU MAR,Midwest,INDIANA,2015,2100,0.22,0.20%,9000,0.22,0,0,0.12,0.21
JAN THRU MAR,Midwest,INDIANA,2016,770,0.12,0.90%,6500,0.07,0.04,0,0.06,0.17
APR THRU JUN,Midwest,INDIANA,2020,920,8.00%,1.80%,11000,0.05,0.13,0.2,0.02,0.27
JUL THRU SEP,Midwest,INDIANA,2021,1700,10.00%,5.20%,16500,0.02,0.24,0.17,0.02,0.39
APR THRU JUN,Midwest,INDIANA,2017,1200,11.00%,0.10%,7500,0.09,0.02,0.43,0.01,0.06
JUL THRU SEP,Midwest,INDIANA,2018,990,9.00%,1.40%,11500,0.05,0.12,0.21,0.01,0.3
JUL THRU SEP,Midwest,INDIANA,2017,930,7.00%,0.40%,13000,0.04,0.06,0.04,0.02,0.14
OCT THRU DEC,Midwest,INDIANA,2017,1700,15.00%,1.70%,11500,0.04,0.06,0.01,0.08,0.24
JAN THRU MAR,Midwest,INDIANA,2018,1000,13.00%,3.00%,7000,0.1,0.08,0.01,0.04,0.33
JUL THRU SEP,Midwest,INDIANA,2016,600,0.06,1.20%,9500,0.03,0.12,0.01,0.01,0.5
OCT THRU DEC,Midwest,INDIANA,2020,930,8.00%,,10000,0.02,0.04,0.02,0.06,0.26
OCT THRU DEC,Midwest,INDIANA,2018,3300,37.00%,23.80%,9000,0.35,0.21,0.65,0.02,0.51
OCT THRU DEC,Midwest,INDIANA,2016,1200,0.16,0.20%,7500,0.01,0.1,0.01,0.04,0.28
APR THRU JUN,Midwest,INDIANA,2015,1300,0.10,7.00%,8000,0.04,0.02,0.01,0.02,0.15
JAN THRU MAR,Midwest,INDIANA,2017,1900,25.00%,5.20%,7000,0.1,0.08,0.04,0.07,0.16
JAN THRU MAR,Midwest,INDIANA,2022,2900,26.00%,1.70%,11000,0.1,0.12,0.04,0.06,0.29
APR THRU JUN,Midwest,INDIANA,2018,1800,19.00%,0.40%,8000,0.01,0.04,0.05,0.01,0.78
APR THRU JUN,Midwest,INDIANA,2016,220,0.03,0.00%,4300,0.03,0.03,0.02,0.04,0.13
APR THRU JUN,Midwest,INDIANA,2022,1600,16.00%,0.50%,8000,0.07,0.05,0.04,0.04,0.26
JAN THRU MAR,Midwest,INDIANA,2019,710,12.00%,2.60%,6000,0.07,0.09,0.06,0.02,0.16
JAN THRU MAR,Midwest,INDIANA,2020,1600,15.00%,,11000,0.02,0.01,0.03,0.06,0.08
JUL THRU SEP,Midwest,INDIANA,2019,1000,6.00%,3.00%,14000,0.19,0.15,0.23,0.01,0.56
JUL THRU SEP,Midwest,INDIANA,2020,1600,11.00%,1.70%,15000,0.01,0.12,0.25,0.01,0.41
OCT THRU DEC,Midwest,INDIANA,2019,1300,7.00%,2.60%,17500,0.02,0.15,0.07,0.01,0.21
OCT THRU DEC,Midwest,INDIANA,2021,1700,12.00%,11.30%,14500,0.02,0.2,0.21,0.02,0.44
JAN THRU MAR,Midwest,IOWA,2017,3000,19.00%,8.40%,10000,0.12,0.08,0.12,0.12,0.34
JUL THRU SEP,Midwest,IOWA,2017,2200,5.00%,2.40%,40000,0.04,0.07,0.04,0.02,0.17
APR THRU JUN,Midwest,IOWA,2015,1400,0.06,2.90%,12500,0.03,0.05,0.08,0.02,0.22
JUL THRU SEP,Midwest,IOWA,2018,3600,6.00%,8.50%,56000,0.02,0.1,0,0,0.3
APR THRU JUN,Midwest,IOWA,2017,2400,10.00%,7.50%,12000,0.08,0.28,0.27,0.01,0.39
JAN THRU MAR,Midwest,IOWA,2015,3100,0.18,4.60%,12500,0.18,0.01,0.03,0.03,0.26
OCT THRU DEC,Midwest,IOWA,2021,4000,8.00%,0.90%,51000,0.01,0.01,0.17,0.02,0.18
APR THRU JUN,Midwest,IOWA,2018,4300,9.00%,0.90%,45000,0.08,0.09,0.08,0,0.13
JAN THRU MAR,Midwest,IOWA,2016,2900,0.22,13.80%,13000,0.24,0.14,0.03,0.05,0.53
JAN THRU MAR,Midwest,IOWA,2022,2800,10.00%,0.70%,26000,0.02,0.13,0.01,0.05,0.3
JUL THRU SEP,Midwest,IOWA,2015,3000,0.08,0.10%,29000,0.06,0.06,0.05,0.03,0.17
OCT THRU DEC,Midwest,IOWA,2020,4800,13.00%,2.60%,38000,0.02,0.01,,0.01,0.4
OCT THRU DEC,Midwest,IOWA,2017,6500,14.00%,12.30%,45000,0.18,0.26,0.33,0.06,0.61
OCT THRU DEC,Midwest,IOWA,2018,4200,20.00%,8.90%,21000,0.29,0.27,0.32,0.06,0.55
JUL THRU SEP,Midwest,IOWA,2016,5500,0.11,0.80%,50000,0.02,0.03,0.17,0.06,0.33
JAN THRU MAR,Midwest,IOWA,2021,2100,8.00%,,15000,0.08,0.01,0.04,0.04,0.19
APR THRU JUN,Midwest,IOWA,2020,3600,12.00%,16.60%,21000,0.04,0.25,0.01,0.01,0.31
APR THRU JUN,Midwest,IOWA,2016,2400,0.09,18.70%,10500,0.06,0.18,0.01,0.06,0.24
APR THRU JUN,Midwest,IOWA,2022,2300,8.00%,1.60%,27000,0.05,0.01,0.01,0.08,0.49
JUL THRU SEP,Midwest,IOWA,2020,1800,5.00%,3.90%,34000,0.05,0.29,0.06,,0.49
JAN THRU MAR,Midwest,IOWA,2020,1600,9.00%,0.00%,9000,0.06,0.02,,0.06,0.22
APR THRU JUN,Midwest,IOWA,2021,2200,8.00%,1.20%,25000,0.03,0.03,0.01,0.08,0.14
JAN THRU MAR,Midwest,IOWA,2018,2100,5.00%,0.30%,41000,0.01,0.01,0.01,0.01,0.05
JAN THRU MAR,Midwest,IOWA,2019,1600,14.00%,0.60%,7500,0.08,0.02,0,0.04,0.35
JUL THRU SEP,Midwest,IOWA,2019,3400,10.00%,5.80%,30000,0.28,0.07,0.26,0.04,0.39
JUL THRU SEP,Midwest,IOWA,2021,4500,8.00%,2.80%,37000,,0.02,0.06,0.02,0.08
OCT THRU DEC,Midwest,IOWA,2015,4300,0.12,0.60%,35000,0.25,0.01,0.06,0.01,0.53
OCT THRU DEC,Midwest,IOWA,2016,4700,0.09,8.90%,54000,0.11,0.1,0.09,0.06,0.19
OCT THRU DEC,Midwest,IOWA,2019,7500,23.00%,5.60%,32000,0.2,0.18,0.25,0.04,0.61
OCT THRU DEC,Midwest,KANSAS,2020,2400,34.00%,1.20%,6000,0.26,0.3,0.33,0.26,0.38
APR THRU JUN,Midwest,KANSAS,2021,1900,24.00%,7.20%,7500,0.02,0.22,0.09,0.07,0.48
APR THRU JUN,Midwest,KANSAS,2017,390,7.00%,0.70%,3800,0.02,0.09,0.23,0.06,0.17
OCT THRU DEC,Midwest,KANSAS,2016,1300,0.26,0.30%,5000,0.05,0.08,0.03,0.01,0.29
APR THRU JUN,Midwest,KANSAS,2020,680,9.00%,24.00%,7500,0.29,0.34,0.33,0.14,0.68
JAN THRU MAR,Midwest,KANSAS,2020,760,12.00%,7.80%,4500,0.03,0.08,0.08,0.11,0.13
APR THRU JUN,Midwest,KANSAS,2018,300,8.00%,1.30%,3900,0.02,0.32,0.25,0.02,0.43
JAN THRU MAR,Midwest,KANSAS,2021,1400,18.00%,0.00%,5000,0.19,0.03,0,0.02,0.26
JAN THRU MAR,Midwest,KANSAS,2015,1600,0.23,1.10%,4600,0.1,0.01,0.14,0.03,0.33
JUL THRU SEP,Midwest,KANSAS,2021,1600,18.00%,10.10%,9000,0.18,0.31,0.15,0.15,0.67
APR THRU JUN,Midwest,KANSAS,2022,650,13.00%,1.70%,4600,0.23,0.01,0.16,0.02,0.42
JAN THRU MAR,Midwest,KANSAS,2022,520,10.00%,3.70%,5000,0.04,0.22,0.02,0.05,0.38
OCT THRU DEC,Midwest,KANSAS,2018,1000,18.00%,26.00%,5500,0.02,0.31,0.44,0.26,0.62
JAN THRU MAR,Midwest,KANSAS,2016,1100,0.22,0.10%,5000,0.02,0.1,0.01,0.05,0.3
JUL THRU SEP,Midwest,KANSAS,2019,1900,25.00%,21.80%,7500,0.01,0.34,0.24,0.01,0.68
JUL THRU SEP,Midwest,KANSAS,2017,1700,24.00%,14.80%,7000,0.01,0.53,0.2,0.07,0.65
JUL THRU SEP,Midwest,KANSAS,2016,2600,0.33,14.10%,8000,0.05,0.26,0.29,0.03,0.43
APR THRU JUN,Midwest,KANSAS,2015,670,0.10,0.90%,6000,0.04,0.02,0,0.05,0.14
OCT THRU DEC,Midwest,KANSAS,2021,2100,26.00%,1.50%,8000,0.15,0.2,0.16,0.14,0.31
APR THRU JUN,Midwest,KANSAS,2016,960,0.16,2.80%,4700,0.04,0.12,0.08,0.02,0.47
JUL THRU SEP,Midwest,KANSAS,2015,1000,0.11,0.20%,9000,0.15,0.16,0.14,0.02,0.23
JAN THRU MAR,Midwest,KANSAS,2017,1000,26.00%,0.00%,3800,0.16,0.03,0.04,0.14,0.47
JAN THRU MAR,Midwest,KANSAS,2018,950,26.00%,1.00%,3700,0.28,0.2,0.04,0.09,0.63
JAN THRU MAR,Midwest,KANSAS,2019,1500,33.00%,2.50%,4500,0.22,0.08,0.12,0.04,0.87
JUL THRU SEP,Midwest,KANSAS,2018,950,16.00%,6.60%,6000,0.24,0.51,0.08,0.08,0.77
JUL THRU SEP,Midwest,KANSAS,2020,910,13.00%,15.60%,7000,0.02,0.25,0.34,,0.94
OCT THRU DEC,Midwest,KANSAS,2015,3400,0.40,0.20%,8500,0.34,0.25,0.25,0.19,0.45
OCT THRU DEC,Midwest,KANSAS,2017,830,13.00%,3.30%,6500,0.01,0.08,0.09,0.1,0.18
OCT THRU DEC,Midwest,KANSAS,2019,650,13.00%,11.90%,4800,0,0.15,0.43,0.14,0.66
OCT THRU DEC,South,KENTUCKY,2021,880,8.00%,2.30%,10500,0.13,0.39,,0.12,0.54
OCT THRU DEC,South,KENTUCKY,2016,950,0.13,3.30%,7500,0.1,0.22,0.03,0.06,0.48
OCT THRU DEC,South,KENTUCKY,2018,2000,29.00%,1.20%,7000,0.06,0.42,0.07,0.04,0.57
JUL THRU SEP,South,KENTUCKY,2015,1300,0.13,1.20%,10000,0.09,0.11,0.07,0.02,0.4
OCT THRU DEC,South,KENTUCKY,2020,1100,10.00%,0.00%,11500,0.08,0.09,0,0.09,0.24
APR THRU JUN,South,KENTUCKY,2016,450,0.08,1.70%,5500,0.16,0.36,0.28,0.04,0.39
JAN THRU MAR,South,KENTUCKY,2022,1300,14.00%,3.00%,8500,0.06,0.04,0.03,0.11,0.16
JAN THRU MAR,South,KENTUCKY,2017,1300,19.00%,0.40%,6500,0.16,0.12,0.04,0.08,0.32
APR THRU JUN,South,KENTUCKY,2020,1200,11.00%,,11000,0.03,0.11,0.01,0.03,0.18
OCT THRU DEC,South,KENTUCKY,2019,410,5.00%,0.20%,8500,0.12,0.2,0.05,0.1,0.33
JUL THRU SEP,South,KENTUCKY,2018,840,12.00%,1.60%,6500,0.05,0.27,0.02,0.08,0.47
JUL THRU SEP,South,KENTUCKY,2019,850,10.00%,0.40%,8000,0.08,0.18,0.05,0.09,0.29
JUL THRU SEP,South,KENTUCKY,2017,1600,18.00%,4.60%,9000,0.1,0.39,0.01,0.06,0.46
OCT THRU DEC,South,KENTUCKY,2017,870,12.00%,0.50%,7500,0.06,0.24,0.07,0.19,0.54
JAN THRU MAR,South,KENTUCKY,2020,1200,11.00%,2.00%,7000,0.08,0.03,,0.07,0.17
JUL THRU SEP,South,KENTUCKY,2020,1400,12.00%,1.40%,11500,0.02,0.04,0.02,0.05,0.23
APR THRU JUN,South,KENTUCKY,2017,900,12.00%,1.00%,7000,0.04,0.12,0.05,0.05,0.26
JUL THRU SEP,South,KENTUCKY,2021,1100,10.00%,0.60%,10500,0.01,0.18,,0.11,0.39
JAN THRU MAR,South,KENTUCKY,2019,890,20.00%,0.10%,3700,0.11,0.13,0.05,0.05,0.22
JUL THRU SEP,South,KENTUCKY,2016,1000,0.13,0.90%,7500,0.07,0.26,0.12,0.05,0.42
OCT THRU DEC,South,KENTUCKY,2015,1100,0.13,0.40%,8500,0.07,0.15,0.1,0.02,0.22
APR THRU JUN,South,KENTUCKY,2022,610,6.00%,10.70%,6500,0.03,0.15,0.02,0.13,0.4
JAN THRU MAR,South,KENTUCKY,2015,4100,0.39,2.50%,7500,0.23,0.11,0.03,0.13,0.11
JAN THRU MAR,South,KENTUCKY,2018,1200,22.00%,0.90%,5500,0.08,0.3,0.11,0.06,0.43
JAN THRU MAR,South,KENTUCKY,2021,2100,19.00%,,11000,0.05,0.17,0,0.09,0.28
APR THRU JUN,South,KENTUCKY,2015,980,0.12,5.30%,7500,0.1,0.18,0.02,0.03,0.22
APR THRU JUN,South,KENTUCKY,2018,910,15.00%,0.60%,5500,0.04,0.2,0.01,0.06,0.41
APR THRU JUN,South,KENTUCKY,2021,270,2.00%,1.00%,10000,0.04,0.04,0.02,0.03,0.22
JAN THRU MAR,South,KENTUCKY,2016,1300,0.20,0.70%,6500,0.13,0.09,0.06,0.08,0.24
OCT THRU DEC,South,LOUISIANA,2017,2700,5.00%,0.30%,58000,0.02,0.27,0.01,0.1,0.32
OCT THRU DEC,South,LOUISIANA,2019,2300,5.00%,3.50%,41000,0.06,0.19,0.01,0.01,0.33
JAN THRU MAR,South,LOUISIANA,2019,3500,7.00%,0.10%,49000,0.01,0.01,0,0.01,0.58
JAN THRU MAR,South,LOUISIANA,2016,11000,0.20,18.60%,54000,0.12,0.14,0,0.02,0.23
OCT THRU DEC,South,LOUISIANA,2016,2000,0.04,1.00%,48000,0.01,0.01,0,0.01,0.03
OCT THRU DEC,South,LOUISIANA,2018,2600,5.00%,0.30%,50000,0.01,0.07,0.06,0.02,0.17
APR THRU JUN,South,LOUISIANA,2018,1400,3.00%,0.20%,48000,0.01,0.06,0.01,0.01,0.08
OCT THRU DEC,South,LOUISIANA,2015,4900,0.07,0.00%,55000,0.02,0.01,0.01,0,0.11
JAN THRU MAR,South,LOUISIANA,2021,7000,13.00%,0.00%,51000,0.1,0.04,0.02,0.01,0.62
OCT THRU DEC,South,LOUISIANA,2021,2800,8.00%,0.00%,30000,,0.05,,0.05,0.28
JAN THRU MAR,South,LOUISIANA,2018,3600,7.00%,0.20%,50000,0.05,0.01,0.01,0.02,0.05
JUL THRU SEP,South,LOUISIANA,2018,1900,4.00%,0.20%,53000,0.01,0.3,0.02,0.02,0.31
APR THRU JUN,South,LOUISIANA,2020,1800,3.00%,0.50%,53000,0.04,0.05,,0.01,0.24
APR THRU JUN,South,LOUISIANA,2021,2300,8.00%,,29000,0.11,0.04,,0.01,0.29
JUL THRU SEP,South,LOUISIANA,2017,13500,21.00%,0.30%,64000,0.04,0.75,0.02,0.15,0.59
APR THRU JUN,South,LOUISIANA,2015,1800,0.04,0.20%,44000,0.05,0.04,0.01,0.01,0.36
APR THRU JUN,South,LOUISIANA,2017,2600,4.00%,0.00%,56000,0.02,0.03,0.02,0.01,0.23
JAN THRU MAR,South,LOUISIANA,2020,4800,10.00%,0.70%,44000,0.01,0.07,0.01,0.01,0.27
APR THRU JUN,South,LOUISIANA,2016,4300,0.08,0.00%,52000,0.01,0.01,0,0.01,0.21
JAN THRU MAR,South,LOUISIANA,2022,6000,14.00%,0.00%,35000,0.01,0.48,0,0.08,0.61
JAN THRU MAR,South,LOUISIANA,2015,8000,0.16,4.30%,51000,0.03,0.05,0.02,0.02,0.17
JAN THRU MAR,South,LOUISIANA,2017,2700,6.00%,0.10%,44000,0.04,0.1,0.02,0.02,0.26
JUL THRU SEP,South,LOUISIANA,2015,2000,0.04,0.00%,50000,0.03,0.02,0.02,0,0.26
APR THRU JUN,South,LOUISIANA,2022,1900,4.00%,4.60%,43000,0.02,0.1,0.05,0.02,0.31
JUL THRU SEP,South,LOUISIANA,2016,7000,0.12,0.00%,51000,0.1,0.26,0.02,0.01,0.4
JUL THRU SEP,South,LOUISIANA,2019,4100,9.00%,0.40%,42000,0.03,0.67,0.57,0.03,0.67
JUL THRU SEP,South,LOUISIANA,2020,2600,5.00%,4.70%,48000,0.04,0.14,0.01,0.03,0.27
JUL THRU SEP,South,LOUISIANA,2021,2300,7.00%,0.00%,29000,0.01,0.02,0,0.06,0.08
OCT THRU DEC,South,LOUISIANA,2020,1700,3.00%,0.00%,46000,0.03,0.03,,,0.22
JAN THRU MAR,Northeast,MAINE,2015,380,0.06,0.00%,3100,0.08,0,0,0.02,0.04
OCT THRU DEC,Northeast,MAINE,2019,770,7.00%,0.10%,11500,0,0,0.03,0,0.21
OCT THRU DEC,Northeast,MAINE,2017,60,1.00%,0.40%,5500,0.01,0.06,0,0,0.25
OCT THRU DEC,Northeast,MAINE,2021,700,13.00%,0.00%,5500,0.15,0.18,0,0.02,0.29
JUL THRU SEP,Northeast,MAINE,2021,1400,14.00%,,10000,0.17,0,0.05,0,0.19
APR THRU JUN,Northeast,MAINE,2016,4200,0.17,4.30%,3600,0.02,0,0.31,0.28,0.83
APR THRU JUN,Northeast,MAINE,2020,700,3.00%,26.80%,1600,0.01,,0,0,0.47
JAN THRU MAR,Northeast,MAINE,2018,410,22.00%,0.20%,1900,0.05,0.01,0,0.07,0.24
APR THRU JUN,Northeast,MAINE,2021,1100,6.00%,,2200,0.02,0,0,0,0.14
JUL THRU SEP,Northeast,MAINE,2017,400,7.00%,0.90%,5500,0.01,0.01,0.04,0,0.03
JUL THRU SEP,Northeast,MAINE,2018,890,7.00%,1.10%,12500,0.04,0.01,0,0.01,0.37
JUL THRU SEP,Northeast,MAINE,2019,1100,9.00%,0.10%,11500,0,0.01,0,0,0.1
JAN THRU MAR,Northeast,MAINE,2020,160,12.00%,0.70%,1300,0.02,0.01,0,0.03,0.2
JUL THRU SEP,Northeast,MAINE,2020,1500,15.00%,0.70%,9500,0.05,0.03,0,0.06,0.65
JAN THRU MAR,Northeast,MAINE,2022,340,5.00%,0.00%,3100,0.07,0.01,0,0.01,0.07
JUL THRU SEP,Northeast,MAINE,2016,420,0.08,0.20%,5500,0.01,0,0,0,0.09
APR THRU JUN,Northeast,MAINE,2017,910,3.00%,4.10%,2200,0.02,0.04,0.04,0.15,0.04
JAN THRU MAR,Northeast,MAINE,2019,470,7.00%,0.00%,7000,0.01,0,0,0.01,0.02
OCT THRU DEC,Northeast,MAINE,2018,1400,12.00%,,12000,0.01,0.05,0,0,0.09
JAN THRU MAR,Northeast,MAINE,2021,300,10.00%,,2900,0.02,0.03,0,0.02,0.07
OCT THRU DEC,Northeast,MAINE,2020,100,1.00%,0.50%,9000,0.01,,0,0.01,0.31
APR THRU JUN,Northeast,MAINE,2015,3200,0.11,0.10%,4600,0.01,0.35,0.35,0,0.72
